Log:

	PID		PPID		Nome do Programa
===========================================================

	17886		17885		create-zombies
	17933		17932		create-zombies
	17982		17981		create-zombies
	17983		17981		create-zombies
	17984		17981		create-zombies
	17985		17981		create-zombies
	17986		17981		create-zombies
	17987		17981		create-zombies
	17988		17981		create-zombies
	17989		17981		create-zombies
	17990		17981		create-zombies
	17991		17981		create-zombies
	18051		18050		create-zombies
	18052		18050		create-zombies
	18053		18050		create-zombies
	18054		18050		create-zombies
	18056		18050		create-zombies
	18057		18050		create-zombies
	18058		18050		create-zombies
	18059		18050		create-zombies
	18060		18050		create-zombies
	18061		18050		create-zombies
	18075		18074		create-zombies
	18076		18074		create-zombies
	18077		18074		create-zombies
	18078		18074		create-zombies
	18080		18074		create-zombies
	18081		18074		create-zombies
	18082		18074		create-zombies
	18084		18074		create-zombies
	18085		18074		create-zombies
	18086		18074		create-zombies
	18087		18074		create-zombies
	18088		18074		create-zombies
	18089		18074		create-zombies
	18090		18074		create-zombies
	18091		18074		create-zombies
	18092		18074		create-zombies
	18093		18074		create-zombies
	18094		18074		create-zombies
	18095		18074		create-zombies
	18096		18074		create-zombies
	18097		18074		create-zombies
	18098		18074		create-zombies
	18099		18074		create-zombies
	18100		18074		create-zombies
	18101		18074		create-zombies
	18102		18074		create-zombies
	18103		18074		create-zombies
	18104		18074		create-zombies
	18105		18074		create-zombies
	18106		18074		create-zombies
	18107		18074		create-zombies
	18108		18074		create-zombies
	18109		18074		create-zombies
	18110		18074		create-zombies
	18111		18074		create-zombies
	18112		18074		create-zombies
	18113		18074		create-zombies
	18114		18074		create-zombies
	18116		18074		create-zombies
	18117		18074		create-zombies
	18118		18074		create-zombies
	18119		18074		create-zombies
	18120		18074		create-zombies
	18121		18074		create-zombies
	18122		18074		create-zombies
	18123		18074		create-zombies
	18124		18074		create-zombies
	18125		18074		create-zombies
	18126		18074		create-zombies
	18127		18074		create-zombies
	18128		18074		create-zombies
	18129		18074		create-zombies
	18130		18074		create-zombies
	18131		18074		create-zombies
	18132		18074		create-zombies
	18133		18074		create-zombies
	18134		18074		create-zombies
	18135		18074		create-zombies
	18136		18074		create-zombies
	18137		18074		create-zombies
	18139		18074		create-zombies
	18140		18074		create-zombies
	18141		18074		create-zombies
	18142		18074		create-zombies
	18143		18074		create-zombies
	18144		18074		create-zombies
	18145		18074		create-zombies
	18146		18074		create-zombies
	18147		18074		create-zombies
	18148		18074		create-zombies
	18149		18074		create-zombies
	18150		18074		create-zombies
	18151		18074		create-zombies
	18152		18074		create-zombies
	18153		18074		create-zombies
	18154		18074		create-zombies
	18155		18074		create-zombies
	18156		18074		create-zombies
	18157		18074		create-zombies
	18158		18074		create-zombies
	18159		18074		create-zombies
	18160		18074		create-zombies
	18161		18074		create-zombies
	18162		18074		create-zombies
	18163		18074		create-zombies
	18165		18074		create-zombies
	18166		18074		create-zombies
	18167		18074		create-zombies
	18168		18074		create-zombies
	18169		18074		create-zombies
	18170		18074		create-zombies
	18171		18074		create-zombies
	18172		18074		create-zombies
	18173		18074		create-zombies
	18174		18074		create-zombies
	18175		18074		create-zombies
	18176		18074		create-zombies
	18177		18074		create-zombies
	18178		18074		create-zombies
